date;time;load1;load5;load15;temp;rx_kbytes;tx_kbytes;mem_tot;mem_free;mem_buffers;mem_cached;mem_div
2012-12-21;00:00:01;0.00;0.01;0.05;46;1645859;1334381;497764;16476;1416;276772;203100
2012-12-21;00:05:01;0.00;0.01;0.05;45;1645859;1334381;497764;16476;1432;276776;203080
2012-12-21;00:10:01;0.11;0.07;0.06;46;1645859;1334381;497764;16228;1448;276780;203308
2012-12-21;00:15:01;0.00;0.05;0.05;45;1645859;1334381;497764;16336;1464;276780;203184
2012-12-21;00:20:01;0.00;0.02;0.05;46;1645860;1334381;497764;16352;1480;276780;203152
2012-12-21;00:25:02;0.00;0.01;0.05;46;1645860;1334381;497764;16228;1488;276780;203268
2012-12-21;00:30:01;0.12;0.06;0.05;46;1645860;1334381;497764;16228;1496;276780;203260
2012-12-21;00:35:01;0.00;0.02;0.05;46;1645860;1334381;497764;16352;1512;276780;203120
2012-12-21;00:40:01;0.00;0.01;0.05;46;1645861;1334381;497764;16352;1528;276780;203104
2012-12-21;00:45:01;0.00;0.02;0.05;45;1645861;1334381;497764;16352;1536;276780;203096
2012-12-21;00:50:01;0.00;0.03;0.05;46;1645861;1334381;497764;16228;1544;276780;203212
2012-12-21;00:55:01;0.00;0.02;0.05;46;1645861;1334381;497764;16228;1552;276780;203204
2012-12-21;01:00:01;0.00;0.04;0.05;46;1645862;1334381;497764;16228;1560;276780;203196
2012-12-21;01:05:01;0.00;0.01;0.05;46;1645862;1334381;497764;16228;1568;276780;203188
2012-12-21;01:10:01;0.00;0.03;0.05;45;1645862;1334381;497764;16228;1584;276780;203172
2012-12-21;01:15:01;0.04;0.04;0.05;46;1645863;1334381;497764;16228;1592;276780;203164
2012-12-21;01:20:01;0.00;0.01;0.05;46;1645863;1334381;497764;16220;1616;276784;203144
2012-12-21;01:25:01;0.00;0.01;0.05;46;1645863;1334381;497764;16112;1624;276784;203244
2012-12-21;01:30:02;0.00;0.03;0.05;46;1645863;1334382;497764;16112;1632;276784;203236
2012-12-21;01:35:01;0.12;0.07;0.06;46;1645864;1334382;497764;16236;1656;276788;203084
2012-12-21;01:40:02;0.00;0.06;0.05;46;1645864;1334382;497764;15988;1672;276788;203316
2012-12-21;01:45:01;0.00;0.06;0.05;46;1645864;1334382;497764;16112;1680;276788;203184
2012-12-21;01:50:01;0.00;0.02;0.05;45;1645864;1334382;497764;16112;1688;276788;203176
2012-12-21;01:55:02;0.00;0.01;0.05;46;1645865;1334382;497764;16112;1696;276788;203168
2012-12-21;02:00:01;0.00;0.01;0.05;46;1645865;1334382;497764;16112;1704;276788;203160
2012-12-21;02:05:01;0.00;0.01;0.05;45;1645865;1334382;497764;16112;1712;276788;203152
2012-12-21;02:10:01;0.11;0.07;0.05;46;1645865;1334382;497764;16112;1728;276788;203136
2012-12-21;02:15:01;0.00;0.06;0.05;46;1645866;1334382;497764;16112;1736;276788;203128
2012-12-21;02:20:02;0.04;0.10;0.07;45;1645866;1334382;497764;16112;1752;276788;203112
2012-12-21;02:25:01;0.00;0.07;0.07;45;1645866;1334382;497764;15988;1760;276788;203228
2012-12-21;02:30:01;0.00;0.03;0.05;46;1645867;1334382;497764;15988;1768;276788;203220
2012-12-21;02:35:02;0.00;0.01;0.05;45;1645867;1334382;497764;16112;1784;276788;203080
2012-12-21;02:40:01;0.00;0.01;0.05;45;1645867;1334382;497764;15864;1800;276788;203312
2012-12-21;02:45:02;0.01;0.03;0.05;46;1645867;1334382;497764;15988;1808;276788;203180
2012-12-21;02:50:01;0.01;0.02;0.05;46;1645868;1334382;497764;15988;1816;276788;203172
2012-12-21;02:55:01;0.00;0.04;0.05;46;1645868;1334382;497764;15988;1824;276792;203160
2012-12-21;03:00:02;0.00;0.04;0.05;46;1645868;1334383;497764;15980;1840;276792;203152
2012-12-21;03:05:01;0.01;0.06;0.05;45;1645868;1334383;497764;15988;1848;276792;203136
2012-12-21;03:10:02;0.00;0.02;0.05;46;1645869;1334383;497764;15980;1864;276792;203128
2012-12-21;03:15:01;0.03;0.04;0.05;45;1645869;1334383;497764;15996;1872;276792;203104
2012-12-21;03:20:01;0.00;0.01;0.05;46;1645869;1334383;497764;15996;1888;276792;203088
2012-12-21;03:25:02;0.00;0.01;0.05;46;1645870;1334383;497764;15864;1896;276792;203212
2012-12-21;03:30:01;0.00;0.01;0.05;46;1645870;1334383;497764;15872;1904;276792;203196
2012-12-21;03:35:01;0.04;0.05;0.05;45;1645870;1334383;497764;15996;1920;276792;203056
2012-12-21;03:40:01;0.14;0.10;0.06;45;1645870;1334383;497764;15872;1936;276796;203160
2012-12-21;03:45:01;0.01;0.07;0.06;45;1645871;1334383;497764;15872;1952;276796;203144
2012-12-21;03:50:02;0.00;0.05;0.05;45;1645871;1334383;497764;15872;1960;276796;203136
2012-12-21;03:55:01;0.00;0.04;0.05;45;1645871;1334383;497764;15872;1976;276800;203116
2012-12-21;04:00:01;0.00;0.01;0.05;46;1645871;1334383;497764;15748;1984;276800;203232
2012-12-21;04:05:02;0.00;0.01;0.05;46;1645872;1334383;497764;15748;1992;276800;203224
2012-12-21;04:10:01;0.03;0.03;0.05;45;1645872;1334383;497764;15748;2008;276800;203208
2012-12-21;04:15:02;0.00;0.01;0.05;45;1645872;1334383;497764;15872;2016;276800;203076
2012-12-21;04:20:01;0.03;0.07;0.06;46;1645872;1334383;497764;15748;2040;276804;203172
2012-12-21;04:25:01;0.00;0.06;0.05;46;1645873;1334384;497764;15748;2048;276804;203164
2012-12-21;04:30:01;0.01;0.07;0.06;45;1645873;1334384;497764;15748;2056;276804;203156
2012-12-21;04:35:01;0.02;0.04;0.05;45;1645873;1334384;497764;15748;2072;276804;203140
2012-12-21;04:40:01;0.00;0.01;0.05;45;1645874;1334384;497764;15748;2088;276804;203124
2012-12-21;04:45:01;0.02;0.03;0.05;46;1645874;1334384;497764;15748;2096;276804;203116
